cours,start,end,prof,RGB,semaine,salle,type_cours,delta,groupe_etudiant
8h00-9h50: Anglais,2025-11-26 08:00:00,2025-11-26 10:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",,,,2.0,
Travail Perso,2025-11-26 10:00:00,2025-11-26 12:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",,,,2.0,
SEABV - remise à niveau SIG,2025-12-03 13:30:00,2025-12-03 17:30:00,[],"(0, 1, 0)",,,,4.0,QEGR
"SEABV_hydrologie 
 (SG, LB)",2026-01-28 09:00:00,2026-01-28 16:30:00,"['Séraphine Grellier', 'Laurie Boithias']","(0, 1, 0)",,,,7.5,QEGR
Anglais,2026-02-04 08:00:00,2026-02-04 10:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,2.0,
"Terrain vallée de Save L'Isle Jourdain- Lombez- Boulogne Sur Gesse 
 (BP et JPS et SG)",2026-02-11 08:00:00,2026-02-11 17:30:00,[],"(1, 1, 0)",,,,9.5,COMMUN
PAE 19 (Retour aux commanditaires) et finalisation des livrables),2026-02-20 08:00:00,2026-02-20 12:00:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,4.0,
"Restitution - World café
 (BP, JPS, MG, ML, SG, LB)",2026-02-19 09:00:00,2026-02-19 12:00:00,"['Benjamin Pey', 'JP', 'Maritxu Guiresse', 'Marc Lang', 'Séraphine Grellier', 'Laurie Boithias']","(1, 1, 0)",,,,3.0,COMMUN
Préconisations,2026-02-18 10:00:00,2026-02-18 12:00:00,[],"(1, 1, 0)",,,,2.0,COMMUN
Bilan Agrest,2026-02-20 13:30:00,2026-02-20 15:30:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,2.0,
Travail perso,2026-02-20 15:30:00,2026-02-20 17:30:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,2.0,
Préparation terrain,2026-02-06 11:00:00,2026-02-06 12:00:00,[],"(1, 1, 0)",,,,1.0,COMMUN
"Préparation terrain (SG MG, BP, BD)",2026-02-06 13:30:00,2026-02-06 15:30:00,"['Séraphine Grellier', 'Maritxu Guiresse', 'Benjamin Pey', 'Bruno Dumora']","(1, 1, 0)",,,,2.0,COMMUN
Travail Perso,2026-02-06 15:30:00,2026-02-06 17:30:00,[],"(0.8352941, 0.6509804, 0.7411765)",A,,,2.0,
Traitement des données retour terrain,2026-02-13 08:00:00,2026-02-13 12:00:00,[],"(1, 1, 0)",,,,4.0,COMMUN
Traitement des données retour terrain,2026-02-13 13:30:00,2026-02-13 17:30:00,[],"(1, 1, 0)",A,,,4.0,COMMUN
Jeu sérieu Érosion,2026-02-13 13:30:00,2026-02-13 15:30:00,[],"(1, 1, 0)",B,,,2.0,COMMUN
